country,generation,p25,p75,mean_d
Kyrgyzstan,0,0.328030303030303,0.5022351430122729,0.4556308483058021
LAIA NES,0,0.0,0.0,0.0
Lao P.Dem.R,0,0.2405278842060451,0.38282397536128876,0.34294465778917205
Latvia,0,0.342051282051282,0.5,0.4733524831369398
Lebanon,0,0.33943191311612364,0.5071789321789322,0.4730551222163679
Liberia,0,0.19414575866188769,0.29671473735908716,0.2585369908768879
Libya,0,0.18530805840854858,0.31722189433186876,0.2652000503311121
Lithuania,0,0.3561254964505738,0.5434733893557424,0.5085674464026803
Madagascar,0,0.22613649059727492,0.3735913527133755,0.3520769890698119
Malawi,0,0.1913617910932489,0.3329457364341086,0.29565380887232173
Malaysia,0,0.3442999243304121,0.5115718366824437,0.4817149826841396
Mali,0,0.32662680456798104,0.4629339875516787,0.42139909233249534
Malta,0,0.32257851479819444,0.48112863502889075,0.4287677000765828
Mauritania,0,0.18014705882352944,0.29831523252575887,0.25438338782996195
Mauritius,0,0.29487930126862016,0.4222717369776193,0.3906257735266262
Mexico,0,0.37903873087696616,0.5729925494456387,0.5358192950457725
Mongolia,0,0.26895424836601306,0.4065015479876161,0.37132129271542363
Morocco,0,0.335515873015873,0.4926610828784741,0.47154703650000906
Mozambique,0,0.31140535792709706,0.48360566448801745,0.42551956927567547
Myanmar,0,0.25675545852176285,0.40907434646091634,0.3847041353528439
Nepal,0,0.3080746187363834,0.4361407132394086,0.4074702245623278
Neth.Ant.Aru,0,0.2799419182870412,0.4317460317460317,0.37222415699833067
Netherlands,0,0.4154132904132904,1.0,0.6330876543866691
Neutral Zone,0,0.1484126984126984,0.2979635823114084,0.23186791802162038
New Calednia,0,0.2623249299719888,0.391403162055336,0.33992427686107884
New Zealand,0,0.3537565553230515,0.5733684342608827,0.5210367004721572
Nicaragua,0,0.2650352405121206,0.4029746971217476,0.3691714035135093
Niger,0,0.2833201581027668,0.39947299077733867,0.35225485068194323
Nigeria,0,0.22565922920892495,0.38725490196078427,0.32514789820318274
Norway,0,0.32794078083210687,0.49412689778232866,0.4579847489987608
Occ.Pal.Terr,0,0.16136162687886826,0.27013673890608875,0.22144717707435752
Oman,0,0.24381127450980394,0.38843749772564296,0.33058500135791835
Oth.Oceania,0,0.3015891630442714,0.44975490196078427,0.38814361626054755
Pakistan,0,0.3333333333333333,0.4742165242165242,0.46160389692783477
Panama,0,0.3513620071684588,0.49886628882179496,0.48513261689300663
Papua N.Guin,0,0.24436026936026936,0.3525380391159769,0.32366172278656563
Paraguay,0,0.3030220381613571,0.45312921727395405,0.4267488515070182
Peru,0,0.3605769230769231,0.5302001616507394,0.5027694278824553
Philippines,0,0.32971521942110177,0.4889097744360903,0.46169435979080253
Poland,0,0.4112491373360939,1.0,0.641895932785716
Portugal,0,0.3876246990024079,1.0,0.5758874316385109
Qatar,0,0.22805589472256138,0.36009517443340977,0.3129388105688913
Rep Moldova,0,0.3464046982429336,0.5226551226551226,0.48002925486379544
