country,generation,p25,p75,mean_d
AUS,13,0.34615384615384615,0.4634146341463415,0.441727630133889
AUT,13,0.3157894736842105,0.44,0.40653227320539237
BDI,13,0.3076923076923077,0.46153846153846156,0.43296906099573146
BEL,13,0.34615384615384615,0.5217391304347826,0.5086655835800993
BEN,13,0.3333333333333333,0.4794520547945205,0.4569392035096954
BFA,13,0.3448275862068966,0.47191011235955055,0.44364540064318436
BGR,13,0.2727272727272727,0.42105263157894735,0.3726495176723107
BHR,13,0.0,0.0,0.0
BHS,13,0.2903225806451613,0.42105263157894735,0.375584627218129
BMU,13,0.375,0.5555555555555556,0.5330071836567187
BOL,13,0.40625,1.0,0.643639402491259
BRA,13,0.2894736842105263,0.42857142857142855,0.39597600421656604
BRB,13,0.25,0.4057971014492754,0.34024054997050573
BRN,13,0.41379310344827586,1.0,0.6599090829809633
CAF,13,0.28888888888888886,0.4383561643835616,0.39098978203813567
CAN,13,0.0,0.0,0.0
CHE,13,0.32,0.4794520547945205,0.44751082872102105
CHL,13,0.28125,0.4166666666666667,0.39492541724174385
CHN,13,0.38461538461538464,1.0,0.5779179118078029
CIV,13,0.275,0.4418604651162791,0.402264957648353
CMR,13,0.34375,0.4722222222222222,0.4494155236275656
COD,13,0.34285714285714286,0.5227272727272727,0.49406383276421617
COG,13,0.0,0.0,0.0
COL,13,0.3684210526315789,1.0,0.5528976795794205
COM,13,0.3,0.4423076923076923,0.40558798868234325
CRI,13,0.2962962962962963,0.40476190476190477,0.38770247362310223
CSK,13,0.3333333333333333,0.47619047619047616,0.4615724467129448
CUB,13,0.38461538461538464,1.0,0.5637445807533039
CYP,13,0.3333333333333333,0.4897959183673469,0.46182176845701056
DEU,13,0.14,0.3076923076923077,0.25245488701795504
DJI,13,0.3076923076923077,0.43478260869565216,0.3882778524268099
DNK,13,0.0,0.0,0.0
DOM,13,0.2777777777777778,0.4117647058823529,0.37563903932151266
DZA,13,0.23333333333333334,0.375,0.311983979047846
ECU,13,0.38235294117647056,1.0,0.5589185527383964
EGY,13,0.3,0.43902439024390244,0.38618210716535684
ESP,13,0.4,1.0,0.5961806556879192
ETH,13,0.32,0.4782608695652174,0.4625604683097793
FIN,13,0.4,1.0,0.6183579338667605
FJI,13,0.2777777777777778,0.4411764705882353,0.40286128941982186
FRA,13,0.2,0.3617021276595745,0.304973845442588
GAB,13,0.2631578947368421,0.3888888888888889,0.3374134549551398
GBR,13,0.2054794520547945,0.3448275862068966,0.281265178562631
GHA,13,0.2777777777777778,0.42105263157894735,0.3810747344099193
GIN,13,0.3333333333333333,0.5151515151515151,0.488435390566879
GLP,13,0.21875,0.34375,0.2821155063237463
GMB,13,0.3181818181818182,0.4583333333333333,0.4233680103392366
GNB,13,0.32653061224489793,0.4864864864864865,0.4589354711604282
GNQ,13,0.0,0.0,0.0
GRC,13,0.2777777777777778,0.4166666666666667,0.3815790546043058
GTM,13,0.0,0.0,0.0
GUF,13,0.2631578947368421,0.3902439024390244,0.3329740924699944
GUY,13,0.2727272727272727,0.3888888888888889,0.33895251428301204
HKG,13,0.35714285714285715,0.5263157894736842,0.500382526577168
HND,13,0.4,1.0,0.6500179603230413
HTI,13,0.4,1.0,0.6638480447122935
HUN,13,0.3090909090909091,0.45614035087719296,0.42440240831438425
IDN,13,0.34146341463414637,0.5,0.46331388085909814
IND,13,0.39473684210526316,1.0,0.6055084655305807
IRL,13,0.3076923076923077,0.45454545454545453,0.4237438606892302
IRN,13,0.18518518518518517,0.30612244897959184,0.2601878724848973
IRQ,13,0.25,0.44,0.3827217213995839
ISL,13,0.32608695652173914,0.5,0.47871830067103244
ISR,13,0.3225806451612903,0.4782608695652174,0.4348794436297702
ITA,13,0.3157894736842105,0.4444444444444444,0.39247745339163426
JAM,13,0.4117647058823529,1.0,0.637290556373893
JOR,13,0.35294117647058826,0.5416666666666666,0.5164563565294915
JPN,13,0.26666666666666666,0.37777777777777777,0.35343149704476745
KEN,13,0.35,0.5333333333333333,0.5101178432832484
KHM,13,0.2916666666666667,0.4523809523809524,0.4227239935807439
KOR,13,0.25,0.36666666666666664,0.31571386429580867
KWT,13,0.4117647058823529,1.0,0.6751175149805888
LAO,13,0.2777777777777778,0.3958333333333333,0.34606481950391194
LBN,13,0.15254237288135594,0.3,0.24968398645251585
LBR,13,0.23076923076923078,0.34615384615384615,0.2917857394401019
LBY,13,0.4024390243902439,1.0,0.6078759732959221
LKA,13,0.3548387096774194,0.509090909090909,0.49406795025917927
MAC,13,0.2727272727272727,0.42857142857142855,0.3870728646116796
MAR,13,0.30434782608695654,0.4358974358974359,0.3986545071357247
MDG,13,0.23076923076923078,0.3695652173913043,0.3130906750389191
MEX,13,0.0,0.0,0.0
MLI,13,0.30434782608695654,0.4444444444444444,0.41603489993517856
